epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
125,1595.18,1.48168,1.22513,0.02819,0.58918,0.61316,0.64154,0.31109,1.70691,1.43323,0.03775,0.0001816,0.0001816,0.0001816
126,1607.28,1.43003,1.22558,0.02713,0.59444,0.61363,0.65174,0.32441,1.66946,1.399,0.0365,0.000175,0.000175,0.000175
127,1619.74,1.45457,1.23531,0.02825,0.61377,0.58566,0.63277,0.31005,1.70812,1.41805,0.03683,0.0001684,0.0001684,0.0001684
128,1632.2,1.44482,1.20918,0.02795,0.61751,0.62457,0.65601,0.32405,1.66728,1.39639,0.03634,0.0001618,0.0001618,0.0001618
129,1644.36,1.43358,1.22309,0.02745,0.58703,0.6278,0.65028,0.32226,1.68445,1.40618,0.03706,0.0001552,0.0001552,0.0001552
130,1656.84,1.44924,1.21936,0.02754,0.5777,0.65562,0.65861,0.32316,1.6772,1.41464,0.03675,0.0001486,0.0001486,0.0001486
131,1668.94,1.43388,1.21057,0.02704,0.60849,0.62285,0.6538,0.31978,1.71791,1.39108,0.03719,0.000142,0.000142,0.000142
132,1681.23,1.43676,1.21677,0.02708,0.64148,0.59422,0.66164,0.32672,1.67513,1.39204,0.03688,0.0001354,0.0001354,0.0001354
133,1693.68,1.44148,1.21191,0.02753,0.60849,0.62321,0.65928,0.32848,1.65309,1.4027,0.03633,0.0001288,0.0001288,0.0001288
134,1705.99,1.42746,1.18415,0.02718,0.61062,0.61796,0.65501,0.32601,1.6885,1.37702,0.03738,0.0001222,0.0001222,0.0001222
135,1718.12,1.43509,1.18665,0.02736,0.61062,0.63191,0.66016,0.32937,1.66876,1.38373,0.03653,0.0001156,0.0001156,0.0001156
136,1730.86,1.42057,1.21603,0.02719,0.58318,0.64853,0.65418,0.32696,1.68076,1.39047,0.03658,0.000109,0.000109,0.000109
137,1742.98,1.42901,1.1848,0.02751,0.58518,0.65185,0.65765,0.32487,1.68473,1.38928,0.03694,0.0001024,0.0001024,0.0001024
138,1755.56,1.42464,1.19567,0.02703,0.58136,0.63537,0.65228,0.32111,1.69356,1.39556,0.03705,9.58e-05,9.58e-05,9.58e-05
139,1767.68,1.41363,1.18826,0.02715,0.59646,0.64171,0.65416,0.32243,1.6713,1.39812,0.03663,8.92e-05,8.92e-05,8.92e-05
140,1779.93,1.40753,1.19773,0.02661,0.61367,0.63331,0.65706,0.32492,1.68618,1.38814,0.03709,8.26e-05,8.26e-05,8.26e-05
141,1793.18,1.38702,1.19791,0.02604,0.61517,0.63878,0.65722,0.32734,1.6824,1.3888,0.03727,7.6e-05,7.6e-05,7.6e-05
142,1805.46,1.39282,1.162,0.02652,0.62128,0.63153,0.65671,0.32249,1.68356,1.38789,0.03716,6.94e-05,6.94e-05,6.94e-05
143,1817.6,1.41198,1.17043,0.02669,0.63609,0.62376,0.65506,0.32284,1.67412,1.40181,0.03692,6.28e-05,6.28e-05,6.28e-05
144,1830.5,1.39932,1.17965,0.02661,0.63015,0.62944,0.66038,0.32443,1.6798,1.39383,0.03682,5.62e-05,5.62e-05,5.62e-05
145,1842.52,1.39253,1.17758,0.02652,0.61835,0.62644,0.66112,0.32648,1.67948,1.39344,0.03682,4.96e-05,4.96e-05,4.96e-05
146,1855.75,1.41616,1.17712,0.02735,0.61327,0.62901,0.65938,0.32616,1.67665,1.40292,0.03659,4.3e-05,4.3e-05,4.3e-05
147,1868.8,1.3913,1.17212,0.02631,0.62864,0.62103,0.65631,0.32534,1.66602,1.40186,0.03645,3.64e-05,3.64e-05,3.64e-05
148,1882,1.38371,1.1551,0.02649,0.61705,0.63399,0.65642,0.32682,1.6737,1.40135,0.03675,2.98e-05,2.98e-05,2.98e-05
149,1894.21,1.38506,1.19167,0.02608,0.61083,0.63599,0.65365,0.32491,1.67452,1.3931,0.03682,2.32e-05,2.32e-05,2.32e-05
150,1906.25,1.3915,1.18146,0.02645,0.60757,0.63474,0.65393,0.32574,1.67582,1.39454,0.03688,1.66e-05,1.66e-05,1.66e-05
